type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
W,2020-12-13 15:27:59,50.75012877,7.04276580,4,104.577,,1.010,350,,36,,Tabu2 62
T,2020-12-13 15:28:27,50.75028969,7.04268573,4,106.115,,1.040,273,,36,20201213-162759,GPS Logger: 20201213-162759
T,2020-12-13 15:28:28,50.75028781,7.04266996,4,106.137,,1.040,275,,36,,
T,2020-12-13 15:28:29,50.75028577,7.04264966,4,105.803,,1.110,273,,36,,
T,2020-12-13 15:28:30,50.75028412,7.04262916,4,105.500,,1.200,272,,36,,
T,2020-12-13 15:28:31,50.75028219,7.04260428,4,105.706,,1.420,270,,36,,
T,2020-12-13 15:28:32,50.75028243,7.04258195,4,106.107,,1.170,272,,36,,
T,2020-12-13 15:28:33,50.75028254,7.04256159,4,106.054,,1.240,268,,36,,
T,2020-12-13 15:28:34,50.75028405,7.04254166,4,106.131,,1.240,280,,36,,
T,2020-12-13 15:28:35,50.75028365,7.04252236,4,106.622,,1.230,268,,36,,
T,2020-12-13 15:28:36,50.75028295,7.04250441,4,106.784,,1.370,272,,36,,
T,2020-12-13 15:28:37,50.75028327,7.04248671,4,106.148,,1.230,277,,36,,
T,2020-12-13 15:28:38,50.75028301,7.04246877,4,105.749,,1.230,272,,36,,
T,2020-12-13 15:28:39,50.75028350,7.04244972,4,105.598,,1.220,274,,36,,
T,2020-12-13 15:28:40,50.75028329,7.04243074,4,105.442,,1.320,264,,36,,
T,2020-12-13 15:28:41,50.75028323,7.04240952,4,104.836,,1.370,269,,36,,
T,2020-12-13 15:28:42,50.75028244,7.04239036,4,104.469,,1.290,266,,36,,
T,2020-12-13 15:28:43,50.75028427,7.04237103,4,104.261,,1.330,282,,36,,
T,2020-12-13 15:28:44,50.75028510,7.04235132,4,103.989,,1.320,273,,36,,
T,2020-12-13 15:28:45,50.75028686,7.04233001,4,104.243,,1.310,276,,36,,
T,2020-12-13 15:28:46,50.75028851,7.04231089,4,103.704,,1.230,276,,36,,
T,2020-12-13 15:28:47,50.75029025,7.04229112,4,103.620,,1.320,278,,36,,
T,2020-12-13 15:28:48,50.75028924,7.04227055,4,103.312,,1.340,269,,36,,
T,2020-12-13 15:28:49,50.75029028,7.04225350,4,103.060,,1.210,290,,36,,
T,2020-12-13 15:28:50,50.75028988,7.04223233,4,102.919,,1.390,273,,36,,
T,2020-12-13 15:28:51,50.75028895,7.04221023,4,102.872,,1.430,276,,36,,
T,2020-12-13 15:28:52,50.75028516,7.04218843,4,103.001,,1.350,262,,36,,
T,2020-12-13 15:28:53,50.75028468,7.04216713,4,103.155,,1.290,272,,36,,
T,2020-12-13 15:28:54,50.75028482,7.04214170,4,103.180,,1.440,274,,36,,
T,2020-12-13 15:28:55,50.75028589,7.04211647,4,103.423,,1.460,276,,36,,
T,2020-12-13 15:28:56,50.75028710,7.04209141,4,103.090,,1.500,270,,36,,
T,2020-12-13 15:28:57,50.75028725,7.04206631,4,103.422,,1.550,269,,36,,
T,2020-12-13 15:28:58,50.75028746,7.04204264,4,103.408,,1.520,270,,36,,
T,2020-12-13 15:28:59,50.75028688,7.04202067,4,103.354,,1.500,268,,36,,
T,2020-12-13 15:29:00,50.75028578,7.04199879,4,103.653,,1.520,265,,36,,
T,2020-12-13 15:29:01,50.75028616,7.04197930,4,103.707,,1.370,273,,36,,
T,2020-12-13 15:29:02,50.75028603,7.04195772,4,103.840,,1.380,270,,36,,
T,2020-12-13 15:29:03,50.75028595,7.04193331,4,104.556,,1.420,265,,36,,
T,2020-12-13 15:29:04,50.75029038,7.04190686,4,105.735,,1.520,290,,36,,
T,2020-12-13 15:29:05,50.75029250,7.04188000,4,106.607,,1.530,286,,36,,
T,2020-12-13 15:29:06,50.75029194,7.04185542,4,107.189,,1.500,270,,36,,
T,2020-12-13 15:29:07,50.75028646,7.04183043,4,107.009,,1.390,261,,36,,
T,2020-12-13 15:29:08,50.75028337,7.04180649,4,107.196,,1.450,269,,36,,
T,2020-12-13 15:29:09,50.75028515,7.04179337,4,107.603,,0.770,297,,36,,
T,2020-12-13 15:29:10,50.75028501,7.04177476,4,107.961,,1.210,271,,36,,
T,2020-12-13 15:29:11,50.75028648,7.04175507,4,107.882,,1.170,280,,36,,
T,2020-12-13 15:29:12,50.75029514,7.04173968,4,108.570,,1.420,315,,36,,
T,2020-12-13 15:29:13,50.75030229,7.04171811,4,110.540,,1.200,293,,36,,
T,2020-12-13 15:29:14,50.75029805,7.04169226,4,110.627,,1.360,261,,36,,
T,2020-12-13 15:29:15,50.75029662,7.04166659,4,111.084,,1.180,268,,36,,
T,2020-12-13 15:29:16,50.75029821,7.04164559,4,110.537,,1.170,277,,36,,
T,2020-12-13 15:29:17,50.75029513,7.04161378,4,109.514,,1.620,257,,36,,
T,2020-12-13 15:29:18,50.75029397,7.04158664,4,109.675,,1.470,267,,36,,
T,2020-12-13 15:29:19,50.75029211,7.04156199,4,109.611,,1.430,272,,36,,
T,2020-12-13 15:29:20,50.75029183,7.04153986,4,109.570,,1.410,276,,36,,
T,2020-12-13 15:29:21,50.75029223,7.04151789,4,109.538,,1.410,275,,36,,
T,2020-12-13 15:29:22,50.75028903,7.04149415,4,109.548,,1.400,270,,36,,
T,2020-12-13 15:29:23,50.75028711,7.04147066,4,109.797,,1.520,269,,36,,
T,2020-12-13 15:29:24,50.75028734,7.04144868,4,109.590,,1.420,267,,36,,
T,2020-12-13 15:29:25,50.75028760,7.04142836,4,109.446,,1.370,268,,36,,
T,2020-12-13 15:29:26,50.75028595,7.04140762,4,109.307,,1.360,270,,36,,
T,2020-12-13 15:29:27,50.75028457,7.04138578,4,109.316,,1.380,271,,36,,
T,2020-12-13 15:29:28,50.75028423,7.04136460,4,109.263,,1.410,270,,36,,
T,2020-12-13 15:29:29,50.75028346,7.04134230,4,109.158,,1.540,269,,36,,
T,2020-12-13 15:29:30,50.75028210,7.04132067,4,109.235,,1.570,269,,36,,
T,2020-12-13 15:29:31,50.75028057,7.04130013,4,108.879,,1.540,273,,36,,
T,2020-12-13 15:29:32,50.75028019,7.04127997,4,108.805,,1.490,273,,36,,
