X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,course,speed,magvar,geoidheight,name,cmt,desc,src,url,urlname,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
7.04268573,50.75028969,0,0,0,106.115,2020/12/13 15:28:27+00,,1.04,,,,,,,,,,,,,,,,,
7.04266996,50.75028781,0,0,1,106.137,2020/12/13 15:28:28+00,,1.04,,,,,,,,,,,,,,,,,
7.04264966,50.75028577,0,0,2,105.803,2020/12/13 15:28:29+00,,1.11,,,,,,,,,,,,,,,,,
7.04262916,50.75028412,0,0,3,105.5,2020/12/13 15:28:30+00,,1.2,,,,,,,,,,,,,,,,,
7.04260428,50.75028219,0,0,4,105.706,2020/12/13 15:28:31+00,,1.42,,,,,,,,,,,,,,,,,
7.04258195,50.75028243,0,0,5,106.107,2020/12/13 15:28:32+00,,1.17,,,,,,,,,,,,,,,,,
7.04256159,50.75028254,0,0,6,106.054,2020/12/13 15:28:33+00,,1.24,,,,,,,,,,,,,,,,,
7.04254166,50.75028405,0,0,7,106.131,2020/12/13 15:28:34+00,,1.24,,,,,,,,,,,,,,,,,
7.04252236,50.75028365,0,0,8,106.622,2020/12/13 15:28:35+00,,1.23,,,,,,,,,,,,,,,,,
7.04250441,50.75028295,0,0,9,106.784,2020/12/13 15:28:36+00,,1.37,,,,,,,,,,,,,,,,,
7.04248671,50.75028327,0,0,10,106.148,2020/12/13 15:28:37+00,,1.23,,,,,,,,,,,,,,,,,
7.04246877,50.75028301,0,0,11,105.749,2020/12/13 15:28:38+00,,1.23,,,,,,,,,,,,,,,,,
7.04244972,50.7502835,0,0,12,105.598,2020/12/13 15:28:39+00,,1.22,,,,,,,,,,,,,,,,,
7.04243074,50.75028329,0,0,13,105.442,2020/12/13 15:28:40+00,,1.32,,,,,,,,,,,,,,,,,
7.04240952,50.75028323,0,0,14,104.836,2020/12/13 15:28:41+00,,1.37,,,,,,,,,,,,,,,,,
7.04239036,50.75028244,0,0,15,104.469,2020/12/13 15:28:42+00,,1.29,,,,,,,,,,,,,,,,,
7.04237103,50.75028427,0,0,16,104.261,2020/12/13 15:28:43+00,,1.33,,,,,,,,,,,,,,,,,
7.04235132,50.7502851,0,0,17,103.989,2020/12/13 15:28:44+00,,1.32,,,,,,,,,,,,,,,,,
7.04233001,50.75028686,0,0,18,104.243,2020/12/13 15:28:45+00,,1.31,,,,,,,,,,,,,,,,,
7.04231089,50.75028851,0,0,19,103.704,2020/12/13 15:28:46+00,,1.23,,,,,,,,,,,,,,,,,
7.04229112,50.75029025,0,0,20,103.62,2020/12/13 15:28:47+00,,1.32,,,,,,,,,,,,,,,,,
7.04227055,50.75028924,0,0,21,103.312,2020/12/13 15:28:48+00,,1.34,,,,,,,,,,,,,,,,,
7.0422535,50.75029028,0,0,22,103.06,2020/12/13 15:28:49+00,,1.21,,,,,,,,,,,,,,,,,
7.04223233,50.75028988,0,0,23,102.919,2020/12/13 15:28:50+00,,1.39,,,,,,,,,,,,,,,,,
7.04221023,50.75028895,0,0,24,102.872,2020/12/13 15:28:51+00,,1.43,,,,,,,,,,,,,,,,,
7.04218843,50.75028516,0,0,25,103.001,2020/12/13 15:28:52+00,,1.35,,,,,,,,,,,,,,,,,
7.04216713,50.75028468,0,0,26,103.155,2020/12/13 15:28:53+00,,1.29,,,,,,,,,,,,,,,,,
7.0421417,50.75028482,0,0,27,103.18,2020/12/13 15:28:54+00,,1.44,,,,,,,,,,,,,,,,,
7.04211647,50.75028589,0,0,28,103.423,2020/12/13 15:28:55+00,,1.46,,,,,,,,,,,,,,,,,
7.04209141,50.7502871,0,0,29,103.09,2020/12/13 15:28:56+00,,1.5,,,,,,,,,,,,,,,,,
7.04206631,50.75028725,0,0,30,103.422,2020/12/13 15:28:57+00,,1.55,,,,,,,,,,,,,,,,,
7.04204264,50.75028746,0,0,31,103.408,2020/12/13 15:28:58+00,,1.52,,,,,,,,,,,,,,,,,
7.04202067,50.75028688,0,0,32,103.354,2020/12/13 15:28:59+00,,1.5,,,,,,,,,,,,,,,,,
7.04199879,50.75028578,0,0,33,103.653,2020/12/13 15:29:00+00,,1.52,,,,,,,,,,,,,,,,,
7.0419793,50.75028616,0,0,34,103.707,2020/12/13 15:29:01+00,,1.37,,,,,,,,,,,,,,,,,
7.04195772,50.75028603,0,0,35,103.84,2020/12/13 15:29:02+00,,1.38,,,,,,,,,,,,,,,,,
7.04193331,50.75028595,0,0,36,104.556,2020/12/13 15:29:03+00,,1.42,,,,,,,,,,,,,,,,,
7.04190686,50.75029038,0,0,37,105.735,2020/12/13 15:29:04+00,,1.52,,,,,,,,,,,,,,,,,
7.04188,50.7502925,0,0,38,106.607,2020/12/13 15:29:05+00,,1.53,,,,,,,,,,,,,,,,,
7.04185542,50.75029194,0,0,39,107.189,2020/12/13 15:29:06+00,,1.5,,,,,,,,,,,,,,,,,
7.04183043,50.75028646,0,0,40,107.009,2020/12/13 15:29:07+00,,1.39,,,,,,,,,,,,,,,,,
7.04180649,50.75028337,0,0,41,107.196,2020/12/13 15:29:08+00,,1.45,,,,,,,,,,,,,,,,,
7.04179337,50.75028515,0,0,42,107.603,2020/12/13 15:29:09+00,,0.77,,,,,,,,,,,,,,,,,
7.04177476,50.75028501,0,0,43,107.961,2020/12/13 15:29:10+00,,1.21,,,,,,,,,,,,,,,,,
7.04175507,50.75028648,0,0,44,107.882,2020/12/13 15:29:11+00,,1.17,,,,,,,,,,,,,,,,,
7.04173968,50.75029514,0,0,45,108.57,2020/12/13 15:29:12+00,,1.42,,,,,,,,,,,,,,,,,
7.04171811,50.75030229,0,0,46,110.54,2020/12/13 15:29:13+00,,1.2,,,,,,,,,,,,,,,,,
7.04169226,50.75029805,0,0,47,110.627,2020/12/13 15:29:14+00,,1.36,,,,,,,,,,,,,,,,,
7.04166659,50.75029662,0,0,48,111.084,2020/12/13 15:29:15+00,,1.18,,,,,,,,,,,,,,,,,
7.04164559,50.75029821,0,0,49,110.537,2020/12/13 15:29:16+00,,1.17,,,,,,,,,,,,,,,,,
7.04161378,50.75029513,0,0,50,109.514,2020/12/13 15:29:17+00,,1.62,,,,,,,,,,,,,,,,,
7.04158664,50.75029397,0,0,51,109.675,2020/12/13 15:29:18+00,,1.47,,,,,,,,,,,,,,,,,
7.04156199,50.75029211,0,0,52,109.611,2020/12/13 15:29:19+00,,1.43,,,,,,,,,,,,,,,,,
7.04153986,50.75029183,0,0,53,109.57,2020/12/13 15:29:20+00,,1.41,,,,,,,,,,,,,,,,,
7.04151789,50.75029223,0,0,54,109.538,2020/12/13 15:29:21+00,,1.41,,,,,,,,,,,,,,,,,
7.04149415,50.75028903,0,0,55,109.548,2020/12/13 15:29:22+00,,1.4,,,,,,,,,,,,,,,,,
7.04147066,50.75028711,0,0,56,109.797,2020/12/13 15:29:23+00,,1.52,,,,,,,,,,,,,,,,,
7.04144868,50.75028734,0,0,57,109.59,2020/12/13 15:29:24+00,,1.42,,,,,,,,,,,,,,,,,
7.04142836,50.7502876,0,0,58,109.446,2020/12/13 15:29:25+00,,1.37,,,,,,,,,,,,,,,,,
7.04140762,50.75028595,0,0,59,109.307,2020/12/13 15:29:26+00,,1.36,,,,,,,,,,,,,,,,,
7.04138578,50.75028457,0,0,60,109.316,2020/12/13 15:29:27+00,,1.38,,,,,,,,,,,,,,,,,
7.0413646,50.75028423,0,0,61,109.263,2020/12/13 15:29:28+00,,1.41,,,,,,,,,,,,,,,,,
7.0413423,50.75028346,0,0,62,109.158,2020/12/13 15:29:29+00,,1.54,,,,,,,,,,,,,,,,,
7.04132067,50.7502821,0,0,63,109.235,2020/12/13 15:29:30+00,,1.57,,,,,,,,,,,,,,,,,
7.04130013,50.75028057,0,0,64,108.879,2020/12/13 15:29:31+00,,1.54,,,,,,,,,,,,,,,,,
7.04127997,50.75028019,0,0,65,108.805,2020/12/13 15:29:32+00,,1.49,,,,,,,,,,,,,,,,,
7.04125983,50.75027923,0,0,66,108.738,2020/12/13 15:29:33+00,,1.48,,,,,,,,,,,,,,,,,
7.04123814,50.75027873,0,0,67,108.55,2020/12/13 15:29:34+00,,1.56,,,,,,,,,,,,,,,,,
7.04121329,50.75027928,0,0,68,108.844,2020/12/13 15:29:35+00,,1.48,,,,,,,,,,,,,,,,,
7.04118802,50.75028033,0,0,69,108.88,2020/12/13 15:29:36+00,,1.48,,,,,,,,,,,,,,,,,
7.04116512,50.75027857,0,0,70,108.615,2020/12/13 15:29:37+00,,1.48,,,,,,,,,,,,,,,,,
7.04114288,50.75027463,0,0,71,108.16,2020/12/13 15:29:38+00,,1.49,,,,,,,,,,,,,,,,,
7.04112293,50.75027533,0,0,72,107.162,2020/12/13 15:29:39+00,,1.45,,,,,,,,,,,,,,,,,
7.04110001,50.75027435,0,0,73,107.053,2020/12/13 15:29:40+00,,1.52,,,,,,,,,,,,,,,,,
7.04107674,50.75027283,0,0,74,106.46,2020/12/13 15:29:41+00,,1.47,,,,,,,,,,,,,,,,,
7.04105477,50.75027209,0,0,75,106.306,2020/12/13 15:29:42+00,,1.4,,,,,,,,,,,,,,,,,
7.04103334,50.75027058,0,0,76,105.99,2020/12/13 15:29:43+00,,1.41,,,,,,,,,,,,,,,,,
7.04101232,50.75027053,0,0,77,106.042,2020/12/13 15:29:44+00,,1.41,,,,,,,,,,,,,,,,,
7.04098905,50.75027199,0,0,78,106.172,2020/12/13 15:29:45+00,,1.4,,,,,,,,,,,,,,,,,
